,high,low,open,close,adjust,volume_match,value_match
0,0.039295,0.064516,0.053333,19.0,0.043764,0.044124,0.016984
1,0.03252,0.038978,0.053333,18.1,0.021882,0.134533,0.050138
2,0.014905,0.02957,0.028,18.35,0.027717,0.084577,0.030392
3,0.02168,0.041667,0.048,18.15,0.022976,0.089791,0.033341
4,0.006775,0.032258,0.033333,17.9,0.016776,0.138126,0.050002
5,0.01897,0.034946,0.026667,18.35,0.027717,0.147439,0.054721
6,0.031165,0.045699,0.037333,18.85,0.040117,0.18753,0.072136
7,0.033875,0.056452,0.048,18.8,0.038658,0.09105,0.035138
8,0.028455,0.052419,0.042667,18.8,0.038658,0.113921,0.043683
9,0.02981,0.057796,0.048,18.9,0.041211,0.063244,0.024037
10,0.02981,0.053763,0.045333,18.7,0.03647,0.080135,0.030424
11,0.02439,0.049731,0.045333,18.45,0.03027,0.066104,0.024663
12,0.01626,0.043011,0.042667,18.2,0.02407,0.072869,0.026713
13,0.039295,0.045699,0.036,19.45,0.054705,0.30801,0.121367
14,0.056911,0.076613,0.072,19.55,0.056893,0.2407,0.098424
15,0.055556,0.072581,0.065333,19.95,0.06674,0.176174,0.072114
16,0.067751,0.08871,0.08,20.45,0.079139,0.230983,0.096341
17,0.070461,0.092742,0.090667,20.2,0.072939,0.148077,0.062517
18,0.066396,0.094086,0.085333,20.35,0.076586,0.103193,0.043427
19,0.075881,0.094086,0.086667,20.75,0.086433,0.166247,0.07064
20,0.077236,0.103495,0.1,20.45,0.079139,0.048605,0.021001
21,0.071816,0.080645,0.094667,19.7,0.06054,0.237614,0.09864
22,0.058266,0.077957,0.066667,20.1,0.070387,0.07963,0.032561
23,0.078591,0.099462,0.096,20.7,0.084974,0.079993,0.034507
24,0.088076,0.107527,0.098667,20.85,0.088621,0.195906,0.085373
25,0.088076,0.111559,0.101333,20.85,0.088621,0.19518,0.085096
26,0.084011,0.112903,0.104,20.85,0.088621,0.120584,0.052475
27,0.084011,0.107527,0.098667,20.8,0.087527,0.097514,0.042477
28,0.086721,0.112903,0.104,20.9,0.09008,0.172937,0.075373
29,0.082656,0.104839,0.102667,20.5,0.080233,0.233309,0.10073
30,0.078591,0.103495,0.093333,20.6,0.082786,0.133483,0.057202
31,0.071816,0.099462,0.097333,20.4,0.077681,0.182282,0.077249
32,0.086721,0.096774,0.090667,21.1,0.094821,0.358851,0.155314
33,0.097561,0.126344,0.12,21.3,0.099562,0.146742,0.065809
34,0.093496,0.11828,0.112,21.35,0.101021,0.164952,0.073196
35,0.093496,0.120968,0.118667,21.15,0.095915,0.120396,0.053539
36,0.088076,0.108871,0.110667,20.8,0.087527,0.208645,0.090862
37,0.079946,0.108871,0.104,20.8,0.087527,0.104211,0.045161
38,0.090786,0.114247,0.104,21.2,0.097374,0.17217,0.075823
39,0.100271,0.119624,0.112,21.25,0.098468,0.205594,0.091869
40,0.092141,0.120968,0.114667,21.3,0.099562,0.078685,0.035162
41,0.100271,0.127688,0.12,21.5,0.104668,0.208234,0.093543
42,0.094851,0.122312,0.114667,21.2,0.097374,0.13014,0.057966
43,0.089431,0.11828,0.112,21.1,0.094821,0.066342,0.029555
44,0.111111,0.11828,0.114667,22.1,0.119256,0.239329,0.106843
45,0.128726,0.147849,0.142667,22.55,0.130197,0.400614,0.187457
46,0.128726,0.15457,0.146667,22.5,0.128738,0.124603,0.059502
47,0.132791,0.150538,0.141333,22.7,0.133844,0.223989,0.106318
48,0.147696,0.168011,0.157333,23.4,0.15062,0.269015,0.130427
49,0.146341,0.170699,0.170667,23.1,0.143326,0.192587,0.093955
50,0.139566,0.159946,0.157333,23.0,0.141138,0.236913,0.113762
51,0.138211,0.147849,0.16,22.1,0.119256,0.183182,0.087369
52,0.124661,0.146505,0.142667,22.5,0.128738,0.154167,0.072402
53,0.113821,0.135753,0.133333,22.15,0.12035,0.18358,0.084518
54,0.126016,0.150538,0.145333,22.35,0.125091,0.060984,0.029467
55,0.130081,0.153226,0.146667,22.5,0.128738,0.071816,0.034887
56,0.128726,0.153226,0.141333,22.65,0.132385,0.049212,0.024279
57,0.130081,0.155914,0.153333,22.45,0.127644,0.09502,0.045855
58,0.123306,0.149194,0.148,22.25,0.122903,0.05445,0.026322
59,0.123306,0.145161,0.146667,22.0,0.116703,0.047357,0.022877
60,0.107046,0.134409,0.129333,21.8,0.111962,0.120121,0.054948
61,0.116531,0.137097,0.136,22.0,0.116703,0.032675,0.015812
62,0.115176,0.142473,0.136,21.9,0.11415,0.042166,0.02021
63,0.116531,0.141129,0.130667,22.3,0.123997,0.049879,0.023862
64,0.124661,0.149194,0.144,22.15,0.12035,0.0872,0.041555
65,0.112466,0.141129,0.130667,21.9,0.11415,0.038853,0.018605
66,0.115176,0.141129,0.130667,21.95,0.115609,0.033701,0.016289
67,0.109756,0.141129,0.130667,21.85,0.113056,0.018266,0.009212
68,0.100271,0.126344,0.122667,21.55,0.105762,0.065459,0.029807
69,0.104336,0.130376,0.124,21.45,0.103209,0.036425,0.01704
70,0.094851,0.115591,0.116,21.0,0.092268,0.084802,0.037627
71,0.088076,0.112903,0.110667,20.8,0.087527,0.032102,0.014273
72,0.081301,0.103495,0.101333,20.5,0.080233,0.040895,0.01766
73,0.086721,0.104839,0.098667,20.85,0.088621,0.044924,0.019719
74,0.096206,0.11828,0.109333,21.4,0.102115,0.044897,0.020468
75,0.092141,0.119624,0.114667,21.05,0.093727,0.011245,0.005447
76,0.089431,0.11828,0.108,21.25,0.098468,0.015693,0.007398
77,0.089431,0.115591,0.114667,21.0,0.092268,0.029486,0.013379
78,0.085366,0.114247,0.104,20.9,0.09008,0.023791,0.010725
79,0.073171,0.100806,0.096,20.45,0.079139,0.045647,0.019509
80,0.075881,0.098118,0.093333,20.4,0.077681,0.017046,0.007384
81,0.066396,0.094086,0.084,20.45,0.079139,0.025613,0.010756
82,0.070461,0.092742,0.090667,20.1,0.070387,0.031747,0.013293
83,0.067751,0.09543,0.085333,20.3,0.075492,0.02297,0.009653
84,0.077236,0.099462,0.090667,20.45,0.079139,0.029781,0.012933
85,0.071816,0.098118,0.086667,20.55,0.081327,0.034791,0.014886
86,0.085366,0.108871,0.097333,21.15,0.095915,0.080852,0.035421
87,0.090786,0.11828,0.110667,21.1,0.094821,0.044881,0.020166
88,0.090786,0.11828,0.109333,21.2,0.097374,0.048682,0.021881
89,0.094851,0.120968,0.112,21.35,0.101021,0.056801,0.025744
90,0.094851,0.123656,0.116,21.25,0.098468,0.040657,0.018589
91,0.100271,0.125,0.121333,21.55,0.105762,0.119484,0.053998
92,0.097561,0.126344,0.12,21.5,0.104668,0.028275,0.013229
93,0.094851,0.123656,0.116,21.2,0.097374,0.037684,0.01724
94,0.088076,0.11828,0.110667,21.2,0.097374,0.023385,0.010739
95,0.086721,0.115591,0.112,21.0,0.092268,0.032563,0.014593
96,0.079946,0.108871,0.104,20.65,0.08388,0.041376,0.018055
97,0.077236,0.104839,0.096,20.65,0.08388,0.019266,0.008512
98,0.074526,0.099462,0.1,20.3,0.075492,0.032492,0.013983
99,0.063686,0.08871,0.082667,19.9,0.065646,0.063321,0.02623
100,0.059621,0.08871,0.08,20.0,0.068198,0.032753,0.013427
101,0.069106,0.094086,0.088,20.1,0.070387,0.029374,0.012427
102,0.063686,0.090054,0.082667,20.3,0.075492,0.031304,0.012986
103,0.066396,0.099462,0.090667,20.45,0.079139,0.013988,0.005963
104,0.074526,0.103495,0.098667,20.5,0.080233,0.045771,0.019753
105,0.069106,0.103495,0.093333,20.5,0.080233,0.006799,0.003009
106,0.067751,0.098118,0.092,20.25,0.074034,0.008844,0.003796
107,0.063686,0.09543,0.085333,20.15,0.071845,0.012382,0.005154
108,0.070461,0.09543,0.086667,20.3,0.075492,0.055038,0.023314
109,0.070461,0.100806,0.090667,20.45,0.079139,0.044379,0.018915
110,0.070461,0.098118,0.093333,20.25,0.074034,0.025352,0.010732
111,0.067751,0.098118,0.086667,20.25,0.074034,0.01514,0.00641
112,0.081301,0.096774,0.086667,21.0,0.092268,0.13095,0.056321
113,0.092141,0.116935,0.112,21.4,0.102115,0.109697,0.048553
114,0.094851,0.122312,0.116,21.4,0.102115,0.086184,0.038765
115,0.092141,0.119624,0.110667,21.05,0.093727,0.079467,0.035435
