Attributes,code,high,low,open,close,adjust,volume_match,value_match
Symbols,FLC,FLC,FLC,FLC,FLC,FLC,FLC,FLC
date,,,,,,,,
2023-12-29,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-12-28,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-12-27,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-12-26,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-12-25,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-12-22,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-12-21,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-12-20,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-12-19,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-12-18,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-12-15,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-12-14,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-12-13,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-12-12,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-12-11,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-12-08,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-12-07,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-12-06,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-12-05,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-12-04,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-12-01,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-11-30,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-11-29,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-11-28,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-11-27,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-11-24,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-11-23,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-11-22,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-11-21,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-11-20,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-11-17,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-11-16,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-11-15,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-11-14,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-11-13,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-11-10,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-11-09,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-11-08,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-11-07,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-11-06,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-11-03,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-11-02,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-11-01,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-10-31,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-10-30,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-10-27,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-10-26,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-10-25,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-10-24,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-10-23,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-10-20,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-10-19,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-10-18,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-10-17,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-10-16,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-10-13,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-10-12,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-10-11,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-10-10,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-10-09,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-10-06,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-10-05,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-10-04,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-10-03,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-10-02,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-09-29,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
