,high,low,open,close,adjust,volume_match,value_match
0,0.009477,0.009519,0.006284,41.2,0.001032,0.023416,0.007383
1,0.003159,0.00544,0.008528,40.8,0.0,0.042396,0.013129
2,0.003159,0.003626,0.000898,41.1,0.000811,0.013055,0.003942
3,0.009025,0.013599,0.01167,41.8,0.002727,0.019682,0.006246
4,0.008123,0.014506,0.01167,42.0,0.003242,0.011366,0.003579
5,0.013538,0.016319,0.014363,42.4,0.004348,0.012352,0.003971
6,0.013087,0.018586,0.017056,42.15,0.003685,0.004854,0.001555
7,0.013087,0.017679,0.017056,42.2,0.003758,0.033513,0.01083
8,0.013538,0.017226,0.016158,42.5,0.004643,0.018939,0.006118
9,0.015343,0.019946,0.016158,42.8,0.005453,0.014596,0.004772
10,0.017148,0.022212,0.018402,42.55,0.004716,0.003325,0.001102
11,0.014892,0.017226,0.017953,42.0,0.003242,0.017566,0.005677
12,0.012635,0.017226,0.014363,42.0,0.003242,0.006315,0.001998
13,0.015343,0.019039,0.01526,42.5,0.004643,0.007838,0.002538
14,0.014892,0.020399,0.017953,42.35,0.0042,0.0,0.0
15,0.011733,0.018586,0.016158,42.35,0.0042,0.003832,0.001218
16,0.013538,0.020399,0.017056,42.45,0.004495,0.006855,0.00222
17,0.013538,0.019946,0.017056,42.4,0.004348,0.005307,0.001717
18,0.012635,0.018132,0.017953,42.1,0.003537,0.005518,0.001762
19,0.012635,0.017226,0.017056,42.5,0.004643,0.021312,0.006851
20,0.020758,0.020852,0.017953,43.2,0.006485,0.040381,0.013292
21,0.020758,0.025385,0.025135,43.2,0.006485,0.027702,0.00916
22,0.018953,0.012693,0.024237,42.6,0.004864,0.033793,0.011021
23,0.028881,0.023572,0.022442,44.15,0.009138,0.06332,0.021286
24,0.031588,0.034451,0.031418,43.9,0.008401,0.041288,0.014061
25,0.035199,0.035358,0.031418,44.55,0.010169,0.07253,0.024834
26,0.034296,0.037625,0.037253,44.25,0.009359,0.035053,0.01208
27,0.030235,0.035358,0.033662,44.2,0.009211,0.037283,0.01273
28,0.031588,0.036265,0.035907,44.4,0.009801,0.012151,0.004265
29,0.036552,0.038078,0.037702,44.4,0.009801,0.098,0.033623
30,0.03565,0.038078,0.034111,44.85,0.011054,0.026387,0.009185
31,0.034296,0.038078,0.037702,44.8,0.010906,0.044855,0.015474
32,0.038809,0.038985,0.0386,45.2,0.011938,0.081254,0.028099
33,0.046029,0.048504,0.045332,45.5,0.012822,0.065032,0.022972
34,0.040614,0.044424,0.045781,45.2,0.011938,0.038461,0.01352
35,0.03926,0.043518,0.04219,45.1,0.011717,0.025371,0.008976
36,0.036101,0.037171,0.041293,44.2,0.009211,0.090725,0.031015
37,0.031588,0.036718,0.036355,44.6,0.010317,0.033121,0.011374
38,0.037004,0.040798,0.036804,45.0,0.011422,0.049043,0.017048
39,0.037004,0.042611,0.040395,44.9,0.011127,0.050336,0.017492
40,0.036101,0.039438,0.039946,44.6,0.010317,0.040821,0.014106
41,0.035199,0.040798,0.036804,44.75,0.010759,0.017166,0.006046
42,0.033394,0.039438,0.037702,44.65,0.010464,0.04067,0.01402
43,0.033845,0.039438,0.037253,44.5,0.010096,0.016442,0.00577
44,0.048736,0.042158,0.038151,46.5,0.015549,0.131909,0.045871
45,0.050542,0.055304,0.05386,46.2,0.014665,0.063427,0.022786
46,0.048736,0.05349,0.051167,46.25,0.014812,0.028897,0.010486
47,0.046931,0.051224,0.051616,46.0,0.014149,0.066372,0.023552
48,0.048285,0.053037,0.052065,46.2,0.014665,0.062851,0.022389
49,0.046931,0.050771,0.051167,45.7,0.013338,0.057001,0.020269
50,0.043321,0.046691,0.045781,45.45,0.012675,0.048343,0.017031
51,0.042419,0.045331,0.047576,45.1,0.011717,0.050442,0.017677
52,0.038809,0.044878,0.041293,45.05,0.01157,0.040265,0.014073
53,0.035199,0.037171,0.033214,44.4,0.009801,0.036272,0.01249
54,0.035199,0.039891,0.040395,44.75,0.010759,0.018034,0.006329
55,0.036101,0.042611,0.0386,45.0,0.011422,0.032993,0.011527
56,0.038357,0.042158,0.038151,45.15,0.011864,0.016283,0.005818
57,0.040614,0.047144,0.045781,45.5,0.012822,0.022504,0.008049
58,0.043321,0.048957,0.048474,45.8,0.013633,0.013713,0.005042
59,0.050542,0.051677,0.047576,46.0,0.014149,0.089419,0.031931
60,0.055054,0.05349,0.052962,47.2,0.017391,0.065802,0.023789
61,0.064079,0.064823,0.062837,47.8,0.019086,0.116079,0.042678
62,0.061372,0.066636,0.06553,47.8,0.019086,0.034921,0.013128
63,0.062274,0.066636,0.064183,47.8,0.019086,0.022939,0.008749
64,0.066787,0.065277,0.06553,47.3,0.017686,0.064149,0.023896
65,0.055957,0.06029,0.058348,46.9,0.016581,0.043465,0.015947
66,0.057762,0.061197,0.057451,47.0,0.016875,0.016102,0.006163
67,0.065884,0.061197,0.057002,48.2,0.020118,0.05408,0.020178
68,0.064079,0.06709,0.062837,47.9,0.019307,0.056432,0.02109
69,0.075812,0.073436,0.070018,48.5,0.021002,0.134022,0.050407
70,0.073556,0.072076,0.071813,48.5,0.021002,0.061513,0.023287
71,0.070397,0.075249,0.073609,48.45,0.020855,0.023037,0.009014
72,0.066787,0.06981,0.071813,47.9,0.019307,0.050468,0.018935
73,0.066336,0.06709,0.066427,47.9,0.019307,0.030071,0.011376
74,0.068141,0.072529,0.071813,48.55,0.021076,0.052608,0.019914
75,0.072653,0.075703,0.071813,48.8,0.021813,0.061125,0.023358
76,0.078069,0.078876,0.075404,49.55,0.023803,0.053332,0.020662
77,0.08213,0.086582,0.083483,49.85,0.024687,0.054812,0.021483
78,0.080325,0.086129,0.084381,50.0,0.025055,0.067679,0.026352
79,0.07491,0.075703,0.076302,48.75,0.021665,0.09684,0.036656
80,0.077617,0.081142,0.077199,49.7,0.024245,0.070282,0.027024
81,0.077617,0.080689,0.078995,49.65,0.024097,0.060267,0.023308
82,0.077166,0.077063,0.081688,48.6,0.021223,0.053037,0.020398
83,0.073556,0.078422,0.076302,49.0,0.022329,0.065339,0.02496
84,0.07852,0.080689,0.076302,49.5,0.023729,0.05227,0.020313
85,0.087545,0.081596,0.079892,50.2,0.025571,0.104631,0.040452
86,0.08574,0.090662,0.089767,50.4,0.026161,0.103091,0.040264
87,0.086643,0.086582,0.088869,49.65,0.024097,0.128991,0.050034
88,0.035199,0.038078,0.040395,44.45,0.024761,0.099232,0.033913
89,0.037906,0.039891,0.035907,45.25,0.027266,0.121682,0.041981
90,0.044675,0.047597,0.044883,45.9,0.029256,0.064506,0.022824
91,0.045578,0.046691,0.042639,45.25,0.027266,0.104839,0.03688
92,0.042419,0.046238,0.042639,45.7,0.028592,0.083009,0.029066
93,0.043773,0.046691,0.044883,45.6,0.028298,0.064375,0.022676
94,0.03926,0.041251,0.043088,45.25,0.027266,0.082598,0.028544
95,0.038809,0.042158,0.040395,44.85,0.026013,0.027791,0.009737
96,0.033845,0.035358,0.039048,44.1,0.023729,0.100537,0.034165
97,0.032491,0.034451,0.032316,44.55,0.025055,0.062289,0.021154
98,0.033394,0.036265,0.036804,44.1,0.023729,0.034675,0.011929
99,0.027076,0.030825,0.031418,43.5,0.021887,0.054575,0.018363
100,0.023466,0.028558,0.02693,43.3,0.021297,0.029168,0.009738
101,0.025271,0.030825,0.02693,43.6,0.022181,0.026437,0.008913
102,0.032491,0.031732,0.029623,44.5,0.024908,0.057592,0.019635
103,0.037455,0.041704,0.0386,45.2,0.027045,0.085748,0.029684
104,0.041516,0.042611,0.044883,45.1,0.02675,0.080047,0.027907
105,0.040614,0.043518,0.041293,45.2,0.027045,0.085145,0.029652
106,0.040614,0.044424,0.04219,45.05,0.026603,0.084262,0.029366
107,0.036101,0.039891,0.040844,44.55,0.025055,0.052692,0.01822
108,0.034296,0.038985,0.036804,44.4,0.024613,0.030837,0.010682
109,0.030686,0.034451,0.032316,44.05,0.023581,0.064287,0.021783
110,0.030235,0.033092,0.03456,44.05,0.023581,0.045867,0.015525
111,0.032491,0.037171,0.037253,44.65,0.025424,0.028701,0.009894
112,0.038809,0.041251,0.039048,45.4,0.027708,0.089533,0.031059
113,0.040614,0.046691,0.044883,45.4,0.027708,0.053886,0.018923
114,0.03926,0.045784,0.043986,45.15,0.026898,0.043101,0.015131
115,0.049188,0.042611,0.040395,46.5,0.031098,0.230586,0.080938
116,0.048736,0.054397,0.05386,46.15,0.029993,0.064355,0.023036
117,0.045126,0.047144,0.043986,45.4,0.027708,0.079643,0.028051
118,0.044224,0.043518,0.044883,45.5,0.028003,0.172332,0.059769
119,0.054152,0.052584,0.059246,47.1,0.032867,0.177644,0.06357
120,0.057762,0.059383,0.057451,46.9,0.032277,0.107539,0.038978
121,0.052347,0.058477,0.055655,46.8,0.031982,0.083624,0.030159
122,0.055054,0.060743,0.058348,46.95,0.032424,0.083619,0.030343
123,0.053249,0.057117,0.056553,46.6,0.031393,0.073444,0.026536
124,0.052347,0.053944,0.05386,46.3,0.030435,0.085628,0.030672
125,0.051895,0.054397,0.052065,46.75,0.031835,0.06274,0.022604
126,0.05731,0.060743,0.057899,47.05,0.032719,0.084075,0.030673
127,0.055505,0.060743,0.059695,47.0,0.032572,0.052535,0.019219
128,0.05731,0.060743,0.059246,47.0,0.032572,0.081125,0.029546
129,0.058213,0.061197,0.059246,47.3,0.03353,0.076267,0.027871
130,0.060469,0.064823,0.06149,47.3,0.03353,0.075083,0.02761
131,0.057762,0.062557,0.061041,47.05,0.032719,0.08486,0.030921
132,0.054152,0.060743,0.058348,46.8,0.031982,0.0659,0.023952
133,0.064982,0.06165,0.057899,48.2,0.036256,0.196831,0.072153
134,0.068141,0.07117,0.06912,48.35,0.036699,0.119002,0.044377
135,0.069495,0.072529,0.071813,48.8,0.038099,0.059495,0.022517
136,0.07491,0.077063,0.079443,48.6,0.037509,0.133524,0.050371
137,0.070848,0.076156,0.072711,48.65,0.037657,0.074869,0.028306
138,0.069495,0.074796,0.071813,48.8,0.038099,0.066459,0.025104
139,0.069495,0.073436,0.074506,48.6,0.037509,0.072904,0.027445
140,0.06769,0.068903,0.072711,47.8,0.035077,0.143803,0.053316
141,0.065884,0.06709,0.06553,48.4,0.036846,0.071535,0.02656
142,0.06769,0.073436,0.070916,48.35,0.036699,0.060712,0.022917
143,0.0713,0.070263,0.067774,48.8,0.038099,0.096601,0.036105
144,0.07852,0.078876,0.076302,49.0,0.038688,0.16075,0.060982
145,0.074007,0.073436,0.06912,48.95,0.038541,0.08574,0.032402
146,0.078069,0.080236,0.06912,49.75,0.040973,0.081453,0.031214
147,0.08574,0.088395,0.083932,50.3,0.042668,0.143309,0.05556
148,0.09296,0.089755,0.087971,51.1,0.045173,0.1187,0.046855
149,0.103791,0.096102,0.095153,52.3,0.048784,0.123583,0.049574
150,0.109206,0.105168,0.104129,52.5,0.049447,0.154549,0.062482
151,0.113718,0.115141,0.112208,53.2,0.051584,0.152145,0.06281
152,0.107401,0.102448,0.102334,53.0,0.05409,0.153509,0.061967
153,0.126354,0.107888,0.112208,52.0,0.050921,0.323585,0.133594
154,0.104693,0.100635,0.103232,52.4,0.052174,0.199649,0.079864
155,0.116426,0.111514,0.106822,54.0,0.057185,0.15748,0.064969
156,0.120939,0.12058,0.122083,53.6,0.055932,0.122853,0.051384
157,0.119134,0.116047,0.117594,53.0,0.05409,0.129091,0.05371
158,0.120036,0.113327,0.113106,54.4,0.058438,0.127289,0.052553
159,0.118231,0.121487,0.116697,53.7,0.056227,0.11903,0.049881
160,0.119134,0.115141,0.121185,52.8,0.053427,0.105039,0.043806
161,0.109206,0.108794,0.112208,52.1,0.05129,0.102937,0.042066
162,0.105596,0.106981,0.105027,52.7,0.053132,0.061293,0.02525
163,0.111011,0.116047,0.112208,53.1,0.054385,0.041789,0.017808
164,0.116426,0.116954,0.112208,53.7,0.056227,0.089843,0.037659
165,0.118231,0.116954,0.112208,53.2,0.054679,0.111595,0.046575
166,0.111913,0.113327,0.115799,52.6,0.052837,0.081251,0.033678
167,0.109206,0.110607,0.111311,52.9,0.053721,0.073808,0.03048
168,0.120036,0.112421,0.112208,53.8,0.056595,0.174439,0.072565
169,0.120036,0.122393,0.12298,54.0,0.057185,0.11722,0.049306
170,0.118231,0.12058,0.121185,54.1,0.05748,0.076533,0.032379
171,0.138989,0.129646,0.124776,56.5,0.064996,0.26969,0.11568
172,0.147112,0.146872,0.143627,56.8,0.065954,0.146139,0.06462
173,0.152527,0.150499,0.143627,57.7,0.068755,0.088319,0.039948
174,0.15343,0.154125,0.150808,57.6,0.068386,0.07764,0.035328
175,0.151625,0.146872,0.156194,56.4,0.064702,0.180713,0.079649
176,0.150722,0.145966,0.144524,57.8,0.069049,0.095188,0.042587
177,0.159747,0.158658,0.154399,58.2,0.070302,0.092489,0.04246
178,0.155235,0.148685,0.157092,56.5,0.064996,0.160085,0.071087
179,0.143502,0.142339,0.142729,56.2,0.064038,0.176636,0.077062
180,0.147112,0.145059,0.141831,57.4,0.067797,0.095901,0.042629
181,0.152527,0.155032,0.154399,57.7,0.068755,0.062745,0.028774
182,0.159747,0.156845,0.153501,58.5,0.07126,0.174639,0.079053
183,0.166065,0.159565,0.168761,57.7,0.068755,0.151688,0.069119
184,0.15704,0.158658,0.154399,58.5,0.07126,0.110771,0.050226
185,0.157942,0.155032,0.16158,57.2,0.067133,0.169369,0.075903
186,0.147112,0.147779,0.144524,57.2,0.067133,0.196337,0.086432
187,0.148014,0.150499,0.152603,56.8,0.065954,0.083281,0.03745
188,0.145307,0.139619,0.14632,55.5,0.061901,0.164414,0.071577
189,0.136282,0.136899,0.13465,56.1,0.063744,0.088147,0.038622
190,0.143502,0.142339,0.141831,56.4,0.064702,0.058683,0.026491
191,0.143502,0.147779,0.144524,56.4,0.064702,0.049134,0.022376
192,0.142599,0.147779,0.145422,56.5,0.064996,0.048133,0.021929
193,0.154332,0.151405,0.148115,57.7,0.068755,0.154036,0.068767
194,0.150722,0.156845,0.155296,57.4,0.067797,0.038512,0.018135
195,0.152527,0.156845,0.155296,57.5,0.068091,0.050686,0.023569
196,0.148014,0.149592,0.151706,56.7,0.065586,0.10911,0.048685
197,0.148917,0.149592,0.14632,57.1,0.066839,0.096265,0.043058
198,0.147112,0.146872,0.151706,56.5,0.064996,0.08249,0.03683
199,0.139892,0.141432,0.143627,56.3,0.064333,0.102681,0.045124
200,0.143502,0.144152,0.139138,56.4,0.064702,0.044697,0.020411
201,0.154332,0.147779,0.14632,58.2,0.070302,0.154247,0.069028
202,0.15704,0.159565,0.159785,58.0,0.069639,0.08948,0.040864
203,0.159747,0.160471,0.157092,58.1,0.070007,0.099765,0.045706
204,0.155235,0.160471,0.158887,57.9,0.069344,0.059825,0.027753
205,0.15343,0.158658,0.156194,57.8,0.069049,0.070812,0.032544
206,0.158845,0.160471,0.157092,57.9,0.069344,0.082704,0.037995
207,0.158845,0.158658,0.157092,58.5,0.07126,0.117319,0.053392
208,0.17509,0.168631,0.163375,59.9,0.075608,0.417984,0.191868
209,0.17148,0.174977,0.175943,59.8,0.075313,0.080945,0.038295
210,0.174188,0.175884,0.17325,59.5,0.074355,0.103951,0.048904
