,high,low,open,close,adjust,volume_match,value_match
0,0.34327,0.34296,0.337522,30.8,0.093373,0.030294,0.025013
1,0.333333,0.319495,0.336625,29.5,0.081024,0.05753,0.045627
2,0.317073,0.305054,0.312388,29.7,0.082831,0.047005,0.036134
3,0.323397,0.313177,0.328546,29.35,0.079518,0.012951,0.009639
4,0.30804,0.305054,0.312388,28.85,0.074699,0.019673,0.014355
5,0.31346,0.310469,0.305206,29.5,0.081024,0.006725,0.004604
6,0.31888,0.319495,0.315978,29.8,0.084036,0.005789,0.004048
7,0.315266,0.316787,0.319569,29.35,0.079518,0.014683,0.011009
8,0.307136,0.307762,0.312388,29.3,0.079217,0.020446,0.015079
9,0.309846,0.313177,0.310592,29.3,0.079217,0.01449,0.010645
10,0.31075,0.313177,0.313285,29.45,0.080422,0.017955,0.013406
11,0.307136,0.308664,0.313285,28.9,0.075301,0.007557,0.005096
12,0.307136,0.313177,0.310592,29.2,0.078012,0.00921,0.006466
13,0.312556,0.314079,0.310592,29.55,0.081627,0.007143,0.004928
14,0.314363,0.318592,0.317774,29.5,0.081024,0.004585,0.002988
15,0.3243,0.316787,0.312388,30.05,0.086446,0.026154,0.020321
16,0.3243,0.325812,0.324955,29.85,0.084337,0.011916,0.009097
17,0.31888,0.320397,0.32316,29.7,0.082831,0.004022,0.002612
18,0.31346,0.3213,0.319569,29.75,0.083434,0.005055,0.003416
19,0.314363,0.319495,0.320467,29.7,0.082831,0.006101,0.004192
20,0.309846,0.307762,0.315978,29.0,0.076205,0.056394,0.042954
21,0.301716,0.285199,0.305206,27.7,0.063855,0.060518,0.044775
22,0.284553,0.274368,0.28456,27.3,0.05994,0.059792,0.042493
23,0.2972,0.285199,0.280969,28.9,0.075301,0.016482,0.011296
24,0.314363,0.305957,0.303411,29.5,0.081024,0.068449,0.052848
25,0.336947,0.319495,0.314183,30.9,0.094578,0.100214,0.080898
26,0.34056,0.34296,0.339318,31.0,0.095482,0.053247,0.043937
27,0.36224,0.34296,0.341113,31.6,0.101205,0.082404,0.069405
28,0.363144,0.363718,0.360862,32.15,0.106325,0.05242,0.045259
29,0.36224,0.358303,0.367145,31.7,0.102108,0.047646,0.040799
30,0.358627,0.358303,0.35368,32.2,0.106928,0.04738,0.040656
31,0.365854,0.362816,0.364452,32.7,0.111747,0.048719,0.042398
32,0.388437,0.374549,0.370736,33.9,0.123193,0.071667,0.064728
33,0.417344,0.404332,0.403052,34.8,0.131928,0.10735,0.101289
34,0.414634,0.405235,0.409336,34.5,0.128916,0.062671,0.059231
35,0.406504,0.40343,0.412029,34.4,0.128012,0.03845,0.03639
36,0.400181,0.393502,0.404847,33.6,0.120482,0.058295,0.053707
37,0.393857,0.393502,0.387792,34.25,0.126506,0.034505,0.032247
38,0.413731,0.413357,0.408438,35.35,0.137048,0.038666,0.037375
39,0.418248,0.41787,0.414722,35.05,0.134337,0.045619,0.043974
40,0.411021,0.407942,0.412926,35.0,0.133735,0.021934,0.021352
41,0.408311,0.402527,0.412926,34.1,0.125,0.033943,0.032151
42,0.394761,0.389892,0.385996,33.95,0.123795,0.034953,0.032319
43,0.392954,0.393502,0.398564,33.8,0.122289,0.037023,0.034152
44,0.392051,0.395307,0.396768,33.85,0.12259,0.041126,0.037969
45,0.395664,0.398917,0.394973,34.35,0.12741,0.020184,0.019283
46,0.401084,0.398917,0.401257,34.2,0.126205,0.033199,0.031096
