,high,low,open,close,adjust,volume_match,value_match,close_avg
0,0.8992,0.839,0.8376,248.8,0.7644,0.0346,0.0755,248.8
1,0.8456,0.7715,0.8376,245.5,0.7452,0.0738,0.1554,247.15
2,0.807,0.7797,0.8253,243.2,0.7316,0.0056,0.0117,245.8333
3,0.8156,0.8053,0.8131,244.0,0.7363,0.0084,0.0178,245.375
4,0.7985,0.7971,0.8131,244.0,0.7363,0.0079,0.0165,245.1
5,0.8156,0.7966,0.8166,244.0,0.7363,0.0181,0.0384,244.9167
6,0.7976,0.7979,0.8017,240.0,0.7129,0.0207,0.0432,244.2143
7,0.7834,0.7841,0.7991,240.0,0.7129,0.0284,0.0591,242.9571
8,0.792,0.7919,0.81,240.0,0.7129,0.0333,0.0693,242.1714
9,0.7809,0.7923,0.7904,239.6,0.7106,0.0169,0.0351,241.6571
10,0.7856,0.7923,0.7948,239.0,0.7071,0.022,0.0457,240.9429
11,0.7847,0.7772,0.7904,234.5,0.6807,0.0304,0.0624,239.5857
12,0.7702,0.7767,0.7751,234.5,0.6807,0.0099,0.0202,238.2286
13,0.7693,0.7772,0.7869,234.5,0.6807,0.0027,0.0054,237.4429
14,0.7599,0.7685,0.7773,233.8,0.6766,0.0101,0.0205,236.5571
15,0.7577,0.7668,0.7721,233.8,0.6766,0.0116,0.0235,235.6714
16,0.7599,0.7663,0.7764,233.0,0.6719,0.0263,0.0532,234.7286
17,0.7551,0.7624,0.7642,233.0,0.6719,0.0194,0.0392,233.8714
18,0.759,0.762,0.7686,233.0,0.6719,0.0175,0.0354,233.6571
19,0.7577,0.7624,0.7751,233.0,0.6719,0.0132,0.0265,233.4429
20,0.759,0.765,0.7686,233.0,0.6719,0.0263,0.0532,233.2286
21,0.7534,0.7668,0.7686,233.0,0.6719,0.0151,0.0306,233.1143
22,0.759,0.762,0.7686,233.0,0.6719,0.06,0.1215,233.0
23,0.7564,0.7637,0.7729,233.3,0.6736,0.0315,0.0639,233.0429
24,0.777,0.7728,0.7948,237.8,0.7,0.0076,0.0154,233.7286
25,0.7723,0.7802,0.7895,236.1,0.69,0.0883,0.1827,234.1714
26,0.7727,0.7836,0.7904,238.0,0.7012,0.0923,0.191,234.8857
27,0.7804,0.7884,0.7969,238.4,0.7036,0.0356,0.0738,235.6571
28,0.7813,0.7962,0.7943,240.0,0.7129,0.0135,0.028,236.6571
29,0.7907,0.7923,0.7948,241.0,0.7188,0.0184,0.0387,237.8
30,0.7985,0.7966,0.7948,244.0,0.7363,0.0289,0.0607,239.3286
31,0.8156,0.8183,0.8166,248.0,0.7597,0.0177,0.0379,240.7857
32,0.8186,0.8312,0.8341,247.0,0.754,0.0097,0.021,242.3429
33,0.8148,0.8269,0.8297,247.8,0.7586,0.0226,0.0486,243.7429
34,0.8156,0.8269,0.8253,247.0,0.754,0.019,0.041,244.9714
35,0.8156,0.8269,0.8341,247.5,0.7569,0.005,0.0107,246.0429
36,0.8135,0.801,0.8223,240.0,0.7129,0.0232,0.0493,245.9
37,0.807,0.7849,0.783,242.0,0.7246,0.0227,0.0479,245.6143
38,0.8049,0.7966,0.7991,242.0,0.7246,0.0324,0.0689,244.7571
39,0.8019,0.8014,0.8188,243.5,0.7333,0.0068,0.0144,244.2571
40,0.8027,0.801,0.8009,243.9,0.7357,0.0164,0.0346,243.7
41,0.7937,0.8031,0.8079,241.1,0.7194,0.0183,0.0383,242.8571
42,0.8027,0.8053,0.8118,245.0,0.7422,0.0211,0.0444,242.5
43,0.8083,0.8079,0.821,245.0,0.7422,0.0145,0.0309,243.2143
44,0.8353,0.8213,0.821,252.0,0.7832,0.0313,0.0678,244.6429
45,0.8585,0.7789,0.8397,255.0,0.8008,0.04,0.0874,246.5
46,0.8563,0.8529,0.8559,253.0,0.7891,0.0188,0.042,247.8571
47,0.8456,0.8347,0.8646,253.8,0.7938,0.0298,0.0651,249.2714
48,0.8405,0.823,0.8432,245.1,0.7428,0.0562,0.1224,249.8429
49,0.822,0.823,0.8214,248.0,0.7597,0.0273,0.0588,250.2714
50,0.8242,0.8226,0.821,249.5,0.7686,0.0126,0.0272,250.9143
51,0.8285,0.8252,0.8467,249.4,0.7679,0.0125,0.0271,250.5429
52,0.8285,0.8226,0.821,251.0,0.7774,0.0224,0.0485,249.9714
