,high,low,open,close,adjust,volume_match,value_match
0,0.00317,0.014423,0.004732,53.6,0.0,0.153306,0.075362
1,0.0,0.001603,0.011041,53.6,0.0,0.151629,0.073803
2,0.004754,0.0,0.0,54.4,0.008088,0.190104,0.09411
3,0.022187,0.030449,0.031546,54.6,0.010228,0.168662,0.085785
4,0.017433,0.030449,0.026814,55.0,0.014272,0.191979,0.09779
5,0.031696,0.035256,0.0347,55.8,0.022598,0.162231,0.083245
6,0.026941,0.038462,0.039432,55.0,0.014272,0.106546,0.052426
7,0.022187,0.036859,0.029968,55.2,0.016413,0.158813,0.080607
8,0.022187,0.036859,0.029968,55.3,0.017364,0.100857,0.049347
9,0.031696,0.041667,0.031546,55.9,0.023549,0.151585,0.077733
10,0.034865,0.038462,0.033123,55.4,0.018316,0.092081,0.045086
11,0.025357,0.040064,0.031546,55.2,0.016413,0.051952,0.02307
12,0.020602,0.035256,0.029968,54.8,0.012131,0.065379,0.030038
13,0.033281,0.030449,0.020505,55.8,0.022598,0.118883,0.059719
14,0.030111,0.041667,0.042587,55.2,0.016413,0.041888,0.017689
15,0.022187,0.036859,0.025237,55.4,0.018316,0.060865,0.027722
16,0.023772,0.038462,0.033123,55.4,0.018316,0.052573,0.023382
17,0.031696,0.044872,0.0347,55.8,0.022598,0.141437,0.072077
18,0.030111,0.046474,0.042587,55.5,0.019505,0.031885,0.012341
19,0.041204,0.041667,0.0347,56.7,0.031637,0.1356,0.069256
20,0.049128,0.065705,0.053628,56.7,0.031637,0.164897,0.087135
21,0.052298,0.067308,0.055205,56.8,0.032826,0.164088,0.086965
22,0.052298,0.0625,0.05836,56.5,0.029734,0.111792,0.057225
23,0.064976,0.067308,0.05836,58.1,0.046147,0.204407,0.110659
24,0.077655,0.083333,0.07571,58.6,0.051142,0.251474,0.139102
25,0.091918,0.096154,0.083596,59.8,0.063511,0.279194,0.157862
26,0.098257,0.112179,0.102524,60.2,0.067555,0.24257,0.138178
27,0.093502,0.105769,0.105678,59.3,0.058278,0.180625,0.101199
28,0.093502,0.110577,0.097792,60.0,0.065652,0.144534,0.08028
29,0.096672,0.102564,0.105678,59.0,0.055186,0.189649,0.106512
30,0.087163,0.100962,0.094637,59.1,0.056375,0.110396,0.059663
31,0.095087,0.104167,0.097792,60.1,0.066603,0.310267,0.177117
32,0.131537,0.11859,0.108833,62.0,0.086108,0.385046,0.227439
33,0.155309,0.155449,0.14511,63.4,0.100381,0.316064,0.191416
34,0.14897,0.149038,0.159306,63.0,0.096337,0.299233,0.180352
35,0.141046,0.144231,0.149842,61.9,0.084919,0.164205,0.0961
36,0.133122,0.126603,0.135647,60.5,0.070647,0.307469,0.180535
37,0.128368,0.13141,0.121451,62.2,0.088011,0.093278,0.052316
38,0.141046,0.153846,0.140379,62.8,0.094196,0.196654,0.116905
39,0.153724,0.158654,0.149842,63.0,0.096337,0.234039,0.14096
40,0.1458,0.149038,0.154574,62.7,0.093245,0.153344,0.090055
41,0.153724,0.160256,0.154574,63.1,0.097288,0.286332,0.173107
42,0.141046,0.152244,0.143533,62.8,0.094196,0.139565,0.082016
43,0.136292,0.149038,0.143533,62.6,0.092293,0.143353,0.083654
44,0.169572,0.161859,0.152997,64.8,0.114891,0.334749,0.20539
45,0.175911,0.190705,0.184543,65.2,0.118934,0.250931,0.156221
46,0.204437,0.190705,0.187697,67.0,0.13725,0.347348,0.222635
47,0.207607,0.214744,0.219243,66.0,0.127022,0.403507,0.258592
48,0.217116,0.222756,0.208202,67.6,0.143435,0.292732,0.190552
49,0.213946,0.225962,0.225552,66.8,0.135347,0.203692,0.131409
50,0.207607,0.217949,0.211356,66.7,0.134158,0.374969,0.242589
51,0.2187,0.222756,0.214511,66.6,0.133206,0.225726,0.145334
52,0.204437,0.222756,0.212934,66.9,0.136299,0.20121,0.128494
53,0.18859,0.182692,0.184543,65.5,0.122027,0.243684,0.152952
54,0.196513,0.206731,0.201893,65.5,0.122027,0.160792,0.100505
55,0.187005,0.19391,0.198738,65.5,0.122027,0.06469,0.038679
56,0.199683,0.205128,0.195584,66.7,0.134158,0.098002,0.060983
57,0.212361,0.227564,0.216088,67.3,0.140343,0.087497,0.055071
58,0.2187,0.240385,0.230284,67.8,0.145576,0.088477,0.05634
59,0.228209,0.238782,0.231861,67.5,0.142483,0.067754,0.042793
60,0.213946,0.222756,0.223975,67.2,0.139391,0.049603,0.030044
61,0.2187,0.227564,0.227129,67.7,0.144624,0.131672,0.084442
62,0.223455,0.24359,0.228707,68.1,0.148668,0.054801,0.034218
63,0.247227,0.245192,0.233438,69.7,0.165081,0.159871,0.105739
64,0.251981,0.269231,0.258675,69.8,0.166032,0.100726,0.066771
65,0.244057,0.259615,0.255521,68.9,0.156755,0.09418,0.061553
66,0.236133,0.241987,0.247634,68.5,0.152712,0.042989,0.026564
67,0.229794,0.240385,0.241325,68.0,0.147479,0.034886,0.020872
68,0.220285,0.221154,0.231861,67.4,0.141532,0.042915,0.025854
69,0.223455,0.230769,0.230284,68.0,0.147479,0.06119,0.038275
70,0.231379,0.238782,0.223975,67.9,0.146527,0.067404,0.042589
71,0.228209,0.245192,0.230284,68.0,0.147479,0.014855,0.007688
72,0.22187,0.230769,0.217666,67.9,0.146527,0.028007,0.016155
73,0.220285,0.216346,0.231861,67.5,0.142483,0.182491,0.117741
74,0.239303,0.238782,0.223975,68.5,0.152712,0.088556,0.05707
75,0.228209,0.241987,0.239748,67.7,0.144624,0.033794,0.020233
76,0.22504,0.238782,0.228707,67.9,0.146527,0.022145,0.012425
77,0.2187,0.221154,0.225552,66.9,0.136299,0.079406,0.049496
78,0.207607,0.216346,0.212934,66.7,0.134158,0.105716,0.06641
79,0.201268,0.213141,0.20347,66.3,0.130114,0.03638,0.021001
80,0.204437,0.195513,0.205047,65.6,0.122978,0.156799,0.097603
81,0.18225,0.192308,0.178233,65.1,0.117745,0.131372,0.080554
82,0.18859,0.200321,0.190852,65.5,0.122027,0.084421,0.051074
83,0.190174,0.201923,0.192429,65.6,0.122978,0.06733,0.040457
84,0.190174,0.208333,0.197161,65.9,0.12607,0.054457,0.032378
85,0.198098,0.205128,0.190852,66.6,0.133206,0.079415,0.048593
86,0.210777,0.222756,0.211356,66.8,0.135347,0.096658,0.060742
87,0.210777,0.227564,0.212934,66.8,0.135347,0.04415,0.026444
88,0.204437,0.224359,0.212934,66.8,0.135347,0.050155,0.03028
89,0.22187,0.225962,0.212934,67.8,0.145576,0.075922,0.047743
90,0.226624,0.241987,0.230284,67.7,0.144624,0.05409,0.03368
91,0.229794,0.230769,0.219243,67.2,0.139391,0.084994,0.05411
92,0.220285,0.232372,0.222397,67.6,0.143435,0.038643,0.02317
93,0.220285,0.216346,0.22082,66.5,0.132255,0.128784,0.082394
94,0.217116,0.222756,0.216088,67.4,0.141532,0.032591,0.018929
95,0.229794,0.227564,0.216088,67.4,0.141532,0.085272,0.054012
96,0.22187,0.233974,0.225552,67.5,0.142483,0.028056,0.0163
97,0.22187,0.235577,0.223975,67.7,0.144624,0.029261,0.017092
98,0.220285,0.227564,0.223975,67.2,0.139391,0.093048,0.059094
99,0.207607,0.182692,0.208202,66.5,0.132255,0.073737,0.045348
100,0.212361,0.213141,0.200315,67.2,0.139391,0.040166,0.023628
101,0.212361,0.225962,0.219243,66.7,0.134158,0.020818,0.011215
102,0.199683,0.198718,0.211356,65.9,0.12607,0.04127,0.023881
103,0.204437,0.201923,0.208202,65.6,0.122978,0.056978,0.033838
104,0.212361,0.214744,0.212934,66.7,0.134158,0.0724,0.044549
105,0.212361,0.222756,0.208202,67.4,0.141532,0.022608,0.012404
106,0.212361,0.229167,0.222397,67.0,0.13725,0.011652,0.005218
107,0.212361,0.221154,0.216088,67.3,0.140343,0.066122,0.041033
