,high,low,open,close,adjust,volume_match,value_match
0,0.679012,0.677156,0.701149,124.0,0.552567,0.006316,0.012484
1,0.679012,0.684149,0.701149,122.9,0.535538,0.008528,0.016241
2,0.690236,0.677156,0.683908,125.0,0.568115,0.010863,0.020567
3,0.757576,0.729604,0.743678,131.0,0.660908,0.029976,0.058185
4,0.762065,0.7669,0.786207,130.0,0.64536,0.008462,0.018345
5,0.774411,0.770396,0.770115,131.9,0.674975,0.017454,0.035869
6,0.768799,0.792541,0.791954,131.7,0.671767,0.001436,0.00569
7,0.791246,0.801865,0.789655,134.0,0.707305,0.032692,0.065915
8,0.802469,0.815851,0.804598,135.0,0.722853,0.016274,0.034648
9,0.804714,0.828671,0.827586,134.9,0.721372,0.015656,0.033828
10,0.799102,0.805361,0.804598,133.0,0.692004,0.013917,0.030042
11,0.784512,0.800699,0.804598,132.2,0.679418,0.011648,0.025211
12,0.801347,0.817016,0.804598,134.0,0.707305,0.013121,0.028668
13,0.792368,0.808858,0.817241,133.8,0.704344,0.000366,0.003977
14,0.802469,0.817016,0.818391,134.0,0.707305,0.006099,0.015108
15,0.802469,0.82634,0.826437,134.5,0.715202,0.036263,0.073291
16,0.808081,0.832168,0.827586,135.5,0.730503,0.038608,0.078291
17,0.817059,0.847319,0.83908,135.9,0.736673,0.02597,0.054377
18,0.820426,0.850816,0.844828,136.5,0.746051,0.010344,0.024015
19,0.824916,0.846154,0.850575,136.5,0.746051,0.004756,0.013093
20,0.820426,0.846154,0.845977,135.5,0.730503,0.000362,0.004506
21,0.819304,0.822844,0.844828,135.0,0.722853,0.025897,0.053959
22,0.811448,0.817016,0.836782,135.0,0.722853,0.022023,0.045861
23,0.835017,0.839161,0.827586,137.0,0.753702,0.052004,0.105753
24,0.838384,0.863636,0.862069,138.0,0.76925,0.032851,0.068982
25,0.840629,0.854312,0.862069,138.3,0.773939,0.023607,0.050482
26,0.861953,0.875291,0.865517,139.4,0.790967,0.051231,0.106548
27,0.861953,0.892774,0.885057,140.2,0.803307,0.030586,0.065857
28,0.886644,0.902098,0.889655,142.0,0.831194,0.03885,0.083336
29,0.895623,0.926573,0.91954,142.6,0.840573,0.081563,0.171656
30,0.897868,0.931235,0.91954,143.0,0.846742,0.034098,0.074965
31,0.960718,0.933566,0.925287,148.5,0.931885,0.076056,0.165202
32,0.965208,0.995338,0.988506,148.9,0.938055,0.025995,0.061664
33,1.0,1.0,0.988506,151.6,0.979763,0.045001,0.10419
34,0.993266,0.956876,1.0,146.1,0.89462,0.025635,0.060636
35,0.970819,0.972028,0.957471,147.7,0.919299,0.010199,0.027577
36,0.953984,0.911422,0.982759,141.1,0.817374,0.033762,0.074401
37,0.902357,0.914918,0.929885,141.4,0.821816,0.028601,0.063006
38,0.902357,0.916084,0.902299,142.9,0.845015,0.028986,0.064111
39,0.890011,0.917249,0.913793,142.0,0.831194,0.012494,0.03042
40,0.890011,0.881119,0.908046,141.0,0.815647,0.021057,0.046783
41,0.881033,0.892774,0.881609,139.7,0.795656,0.020901,0.046833
42,0.852974,0.847319,0.873563,137.0,0.753702,0.033973,0.070821
43,0.84624,0.857809,0.844828,137.6,0.76308,0.007252,0.018441
44,0.852974,0.875291,0.862069,139.0,0.784798,0.013828,0.031786
45,0.859708,0.877622,0.87931,138.3,0.773939,0.016494,0.037297
46,0.847363,0.86014,0.873563,137.2,0.75691,0.031099,0.065269
